Channel Title,Channel Username,ID,Message,Date,Media Path,Amharic_Only,Labeled_Message,Normalized_Message
HellooMarket,@helloomarketethiopia,10,"ዕቃዎችን ለማዘዝ ኦንላይን helloomarket.com እና ስልክ መደወል ይችላሉ 011 617 44 45 ይደውሉ የመረጡትን ዕቃ መለያ ቁጥር ያሳውቁን በመላው ሃገሪቱ የእቃ ማድረሻ ዋጋ 60ብር ነው We have both offline and online ways of ordering your items. Call 011 617 44 45 tell us the item number of choice and then you can pay with your HelloCash account, agent or branch. The delivery of items is 60ETB throughout Ethiopia!HappyShopping!!",2019-11-22 11:56:16+00:00,,True,"ዕቃዎችን B-PRODUCT
ለማዘዝ O
ኦንላይን O
helloomarket.com O
እና O
ስልክ O
መደወል O
ይችላሉ O
011 I-PRICE
617 I-PRICE
44 I-PRICE
45 I-PRICE
ይደውሉ O
የመረጡትን O
ዕቃ O
መለያ O
ቁጥር O
ያሳውቁን O
በመላው O
ሃገሪቱ O
የእቃ O
ማድረሻ O
ዋጋ I-PRICE
60 I-PRICE
ብር I-PRICE
ነው O
We O
have O
both O
offline O
and O
online O
ways O
of O
ordering O
your O
items. O
Call O
011 I-PRICE
617 I-PRICE
44 I-PRICE
45 I-PRICE
tell O
us O
the O
item O
number O
of O
choice O
and O
then O
you O
can O
pay O
with O
your O
HelloCash O
account, O
agent O
or O
branch. O
The O
delivery O
of O
items O
is O
60 I-PRICE
ETB I-PRICE
throughout O
Ethiopia!HappyShopping!! O","ዕቃዎችን ለማዘዝ ኦንላይን helloomarket.com እና ስልክ መደወል ይችላሉ 011 617 44 45 ይደውሉ የመረጡትን ዕቃ መለያ ቁጥር ያሳውቁን በመላው ሃገሪቱ የእቃ ማድረሻ ዋጋ 60 ብር ነው We have both offline and online ways of ordering your items. Call 011 617 44 45 tell us the item number of choice and then you can pay with your HelloCash account, agent or branch. The delivery of items is 60 ETB throughout Ethiopia!HappyShopping!!"
Zemen Express®,@ZemenExpress,113,"ZemenExpress is a platform that connect suppliers, retailers, dealers buyers at the same time for better shoping experience. Feedback zemenexpress NEW PRODUCTSNEW DEALS. FREE DELIVERY 251928460606 or 251902660722",2020-04-23 17:58:01+00:00,,True,"ZemenExpress B-PRODUCT
is O
a O
platform O
that O
connect O
suppliers, O
retailers, O
dealers O
buyers O
at O
the O
same O
time O
for O
better O
shoping O
experience. O
Feedback O
zemenexpress O
NEW O
PRODUCTSNEW O
DEALS. O
FREE O
DELIVERY O
251928460606 I-PRICE
or O
251902660722 I-PRICE","ZemenExpress is a platform that connect suppliers, retailers, dealers buyers at the same time for better shoping experience. Feedback zemenexpress NEW PRODUCTSNEW DEALS. FREE DELIVERY 251928460606 or 251902660722 "
Zemen Express®,@ZemenExpress,115,"ZemenExpress is a platform that connect suppliers, retailers, dealers buyers at the same time for better shoping experience. Feedback zemenCallCenter NEW PRODUCTSNEW DEALS. FREE DELIVERY 251928460606 or 251902660722",2020-04-24 09:32:43+00:00,,True,"ZemenExpress B-PRODUCT
is O
a O
platform O
that O
connect O
suppliers, O
retailers, O
dealers O
buyers O
at O
the O
same O
time O
for O
better O
shoping O
experience. O
Feedback O
zemenCallCenter O
NEW O
PRODUCTSNEW O
DEALS. O
FREE O
DELIVERY O
251928460606 I-PRICE
or O
251902660722 I-PRICE","ZemenExpress is a platform that connect suppliers, retailers, dealers buyers at the same time for better shoping experience. Feedback zemenCallCenter NEW PRODUCTSNEW DEALS. FREE DELIVERY 251928460606 or 251902660722 "
AwasMart-አዋስማርት🎁,@AwasMart,2071,Super Stretch Silicon Lids 6 pack የዕቃ መሸፈኛ ሲሊከን ፕላስቲኮች በተደጋጋሚ የምንጠቀምባቸዉ በተለያዩ ሳይዞች የቀረቡ የሚለጠጥ የማይቀደድ Kitchen Home Silicone Stretch Lids Set of 6 Silicone Food Saver Covers Superior Quality Lids that fit Reusable Temperature Resistant Food Safe ዋጋ 400 350 ብር አድሚኑን ለማናገር awasadmin1 awasadmin2 አድራሻችን ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ትቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 251941661030 251943190237 ለወዳጅዎ ስላጋሩ እናመሠግናለን ቴሌግራም ቻናል t.meAwasMart,2022-08-21 11:13:39+00:00,,True,"Super B-PRODUCT
Stretch O
Silicon O
Lids O
6 I-PRICE
pack O
የዕቃ O
መሸፈኛ O
ሲሊከን O
ፕላስቲኮች O
በተደጋጋሚ O
የምንጠቀምባቸዉ O
በተለያዩ O
ሳይዞች O
የቀረቡ O
የሚለጠጥ O
የማይቀደድ O
Kitchen O
Home O
Silicone O
Stretch O
Lids O
Set O
of O
6 I-PRICE
Silicone O
Food O
Saver O
Covers O
Superior O
Quality O
Lids O
that O
fit O
Reusable O
Temperature O
Resistant O
Food O
Safe O
ዋጋ I-PRICE
400 I-PRICE
350 I-PRICE
ብር I-PRICE
አድሚኑን O
ለማናገር O
awasadmin O
1 I-PRICE
awasadmin O
2 I-PRICE
አድራሻችን O
ቦሌ I-LOC
መድሐኔዓለም O
ቦሌ I-LOC
መሰናዶ O
ትቤት O
ፊትለፊት O
አለምነሽ O
ፕላዛ O
ግራውንድ O
ሱቅ O
ቁጥር O
05 I-PRICE
251941661030 I-PRICE
251943190237 I-PRICE
ለወዳጅዎ O
ስላጋሩ O
እናመሠግናለን O
ቴሌግራም O
ቻናል O
t.meAwasMart O",Super Stretch Silicon Lids 6 pack የዕቃ መሸፈኛ ሲሊከን ፕላስቲኮች በተደጋጋሚ የምንጠቀምባቸዉ በተለያዩ ሳይዞች የቀረቡ የሚለጠጥ የማይቀደድ Kitchen Home Silicone Stretch Lids Set of 6 Silicone Food Saver Covers Superior Quality Lids that fit Reusable Temperature Resistant Food Safe ዋጋ 400 350 ብር አድሚኑን ለማናገር awasadmin 1 awasadmin 2 አድራሻችን ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ትቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 251941661030 251943190237 ለወዳጅዎ ስላጋሩ እናመሠግናለን ቴሌግራም ቻናል t.meAwasMart
AwasMart-አዋስማርት🎁,@AwasMart,2073,Magic Silicone Dish Washing Gloves ዋጋ 400 350ብር አድሚኑን ለማናገር awasadmin1 awasadmin2 አድራሻችን ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ትቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 251941661030 251943190237 ለወዳጅዎ ስላጋሩ እናመሠግናለን ቴሌግራም ቻናል t.meAwasMart,2022-08-22 04:33:16+00:00,,True,"Magic B-PRODUCT
Silicone O
Dish O
Washing O
Gloves O
ዋጋ I-PRICE
400 I-PRICE
350 I-PRICE
ብር I-PRICE
አድሚኑን O
ለማናገር O
awasadmin O
1 I-PRICE
awasadmin O
2 I-PRICE
አድራሻችን O
ቦሌ I-LOC
መድሐኔዓለም O
ቦሌ I-LOC
መሰናዶ O
ትቤት O
ፊትለፊት O
አለምነሽ O
ፕላዛ O
ግራውንድ O
ሱቅ O
ቁጥር O
05 I-PRICE
251941661030 I-PRICE
251943190237 I-PRICE
ለወዳጅዎ O
ስላጋሩ O
እናመሠግናለን O
ቴሌግራም O
ቻናል O
t.meAwasMart O",Magic Silicone Dish Washing Gloves ዋጋ 400 350 ብር አድሚኑን ለማናገር awasadmin 1 awasadmin 2 አድራሻችን ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ትቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 251941661030 251943190237 ለወዳጅዎ ስላጋሩ እናመሠግናለን ቴሌግራም ቻናል t.meAwasMart
Zemen Express®,@ZemenExpress,120,"ከውኃ ማሰሮ Jar ላይ የመጠጥ ዉሃ የሚስብ ተንቀሳቃሽ እና በኤሌክትሪክ ሃይል በሚሞላ ዉሃ መሳቢያ በተመጣጣኝ ዋጋ በ USB ቻርጅ የሚሰራ አንድ ጊዜ ቻርጅ 5 ጋሎን ውሀ የሚስብ አውቶማቲክ መክፈቻና መዝጊያ ያለው ለአጠቃቀም ቀላል ያሉበት ድረስ በነፃ እናደርሳለን ዋጋ 500 ብር httpstelegram.meZemenExpress 251928460606 , 251902660722 ይደውሉ",2020-04-24 16:15:34+00:00,photos\@ZemenExpress_120.jpg,True,"ከውኃ B-PRODUCT
ማሰሮ O
Jar O
ላይ O
የመጠጥ O
ዉሃ O
የሚስብ O
ተንቀሳቃሽ O
እና O
በኤሌክትሪክ O
ሃይል O
በሚሞላ O
ዉሃ O
መሳቢያ O
በተመጣጣኝ O
ዋጋ I-PRICE
በ O
USB O
ቻርጅ O
የሚሰራ O
አንድ O
ጊዜ O
ቻርጅ O
5 I-PRICE
ጋሎን O
ውሀ O
የሚስብ O
አውቶማቲክ O
መክፈቻና O
መዝጊያ O
ያለው O
ለአጠቃቀም O
ቀላል O
ያሉበት O
ድረስ O
በነፃ O
እናደርሳለን O
ዋጋ I-PRICE
500 I-PRICE
ብር I-PRICE
httpstelegram.meZemenExpress O
251928460606 I-PRICE
, O
251902660722 I-PRICE
ይደውሉ O","ከውኃ ማሰሮ Jar ላይ የመጠጥ ዉሃ የሚስብ ተንቀሳቃሽ እና በኤሌክትሪክ ሃይል በሚሞላ ዉሃ መሳቢያ በተመጣጣኝ ዋጋ በ USB ቻርጅ የሚሰራ አንድ ጊዜ ቻርጅ 5 ጋሎን ውሀ የሚስብ አውቶማቲክ መክፈቻና መዝጊያ ያለው ለአጠቃቀም ቀላል ያሉበት ድረስ በነፃ እናደርሳለን ዋጋ 500 ብር httpstelegram.meZemenExpress 251928460606 , 251902660722 ይደውሉ"
Zemen Express®,@ZemenExpress,121,"ከውኃ ማሰሮ Jar ላይ የመጠጥ ዉሃ የሚስብ ተንቀሳቃሽ እና በኤሌክትሪክ ሃይል በሚሞላ ዉሃ መሳቢያ በተመጣጣኝ ዋጋ በ USB ቻርጅ የሚሰራ አንድ ጊዜ ቻርጅ 5 ጋሎን ውሀ የሚስብ አውቶማቲክ መክፈቻና መዝጊያ ያለው ለአጠቃቀም ቀላል ያሉበት ድረስ በነፃ እናደርሳለን ዋጋ 500 ብር httpstelegram.meZemenExpress 251928460606 , 251902660722 ይደውሉ",2020-04-24 16:52:40+00:00,,True,"ከውኃ B-PRODUCT
ማሰሮ O
Jar O
ላይ O
የመጠጥ O
ዉሃ O
የሚስብ O
ተንቀሳቃሽ O
እና O
በኤሌክትሪክ O
ሃይል O
በሚሞላ O
ዉሃ O
መሳቢያ O
በተመጣጣኝ O
ዋጋ I-PRICE
በ O
USB O
ቻርጅ O
የሚሰራ O
አንድ O
ጊዜ O
ቻርጅ O
5 I-PRICE
ጋሎን O
ውሀ O
የሚስብ O
አውቶማቲክ O
መክፈቻና O
መዝጊያ O
ያለው O
ለአጠቃቀም O
ቀላል O
ያሉበት O
ድረስ O
በነፃ O
እናደርሳለን O
ዋጋ I-PRICE
500 I-PRICE
ብር I-PRICE
httpstelegram.meZemenExpress O
251928460606 I-PRICE
, O
251902660722 I-PRICE
ይደውሉ O","ከውኃ ማሰሮ Jar ላይ የመጠጥ ዉሃ የሚስብ ተንቀሳቃሽ እና በኤሌክትሪክ ሃይል በሚሞላ ዉሃ መሳቢያ በተመጣጣኝ ዋጋ በ USB ቻርጅ የሚሰራ አንድ ጊዜ ቻርጅ 5 ጋሎን ውሀ የሚስብ አውቶማቲክ መክፈቻና መዝጊያ ያለው ለአጠቃቀም ቀላል ያሉበት ድረስ በነፃ እናደርሳለን ዋጋ 500 ብር httpstelegram.meZemenExpress 251928460606 , 251902660722 ይደውሉ"
Zemen Express®,@ZemenExpress,123,መልእክት ካለዎት ZemenCallCenter ላይ ማስቀመጥ ይችላሉ!!! መልካም ቀን,2020-04-25 07:19:11+00:00,,True,"መልእክት B-PRODUCT
ካለዎት O
ZemenCallCenter O
ላይ O
ማስቀመጥ O
ይችላሉ!!! O
መልካም O
ቀን O",መልእክት ካለዎት ZemenCallCenter ላይ ማስቀመጥ ይችላሉ!!! መልካም ቀን
Zemen Express®,@ZemenExpress,125,httpswww.facebook.comEthiopianShoppingCenter ያማረ ወዳጅነት እየተመኘን የ ፌስቡክ ገፃችንን ከወደዱት Like ለወዳጅዎ ይጠቅማል ካሉ Share እንዲያደርጉ በትህትና እንጠይቃለን,2020-04-25 20:03:57+00:00,,True,"httpswww.facebook.comEthiopianShoppingCenter B-PRODUCT
ያማረ O
ወዳጅነት O
እየተመኘን O
የ O
ፌስቡክ O
ገፃችንን O
ከወደዱት O
Like O
ለወዳጅዎ O
ይጠቅማል O
ካሉ O
Share O
እንዲያደርጉ O
በትህትና O
እንጠይቃለን O",httpswww.facebook.comEthiopianShoppingCenter ያማረ ወዳጅነት እየተመኘን የ ፌስቡክ ገፃችንን ከወደዱት Like ለወዳጅዎ ይጠቅማል ካሉ Share እንዲያደርጉ በትህትና እንጠይቃለን
Zemen Express®,@ZemenExpress,126,ቤትና_ንብረትዎን_ከዘራፊዎች_ለመጠበቅ_የሚረዳ ፌሩዝ_ሴኪዮሪቲ የንብረትዎ ጠባቂ ለአጠቃቀም ምቹ ያለ መብራትና ዋይፋይ የሚሰራ ለ 3 አመት የሚያገለግል የራሱ ባትሪ ያለው 1 ለመኖሪያ ቤትዎ 2 ለንግድ ድርጅትዎ በፈለጉት መንገድ የሚጠቀሙበት ይዘዙን ያሉበት ቦታ በፈለጉት ፍጥነት እናደርሳለን ይደውሉ 0928460606 0902660722 ከ አንድ አመት ዋስትና ጋር ዋጋ 750 ብር የቴሌግራም ቻናላችንን በመቀላቀል ለሌሎችም ያጋሩ httpstelegram.meZemenExpress የሚደሰቱበት_የሚረኩበት! ለተጨማሪ ሀሳብ አስተያየት ZemenCallCenter,2020-04-26 19:13:54+00:00,,True,"ቤትና_ንብረትዎን_ከዘራፊዎች_ለመጠበቅ_የሚረዳ B-PRODUCT
ፌሩዝ_ሴኪዮሪቲ O
የንብረትዎ O
ጠባቂ O
ለአጠቃቀም O
ምቹ O
ያለ O
መብራትና O
ዋይፋይ O
የሚሰራ O
ለ O
3 I-PRICE
አመት O
የሚያገለግል O
የራሱ O
ባትሪ O
ያለው O
1 I-PRICE
ለመኖሪያ O
ቤትዎ O
2 I-PRICE
ለንግድ O
ድርጅትዎ O
በፈለጉት O
መንገድ O
የሚጠቀሙበት O
ይዘዙን O
ያሉበት O
ቦታ O
በፈለጉት O
ፍጥነት O
እናደርሳለን O
ይደውሉ O
0928460606 I-PRICE
0902660722 I-PRICE
ከ O
አንድ O
አመት O
ዋስትና O
ጋር O
ዋጋ I-PRICE
750 I-PRICE
ብር I-PRICE
የቴሌግራም O
ቻናላችንን O
በመቀላቀል O
ለሌሎችም O
ያጋሩ O
httpstelegram.meZemenExpress O
የሚደሰቱበት_የሚረኩበት! O
ለተጨማሪ O
ሀሳብ O
አስተያየት O
ZemenCallCenter O",ቤትና_ንብረትዎን_ከዘራፊዎች_ለመጠበቅ_የሚረዳ ፌሩዝ_ሴኪዮሪቲ የንብረትዎ ጠባቂ ለአጠቃቀም ምቹ ያለ መብራትና ዋይፋይ የሚሰራ ለ 3 አመት የሚያገለግል የራሱ ባትሪ ያለው 1 ለመኖሪያ ቤትዎ 2 ለንግድ ድርጅትዎ በፈለጉት መንገድ የሚጠቀሙበት ይዘዙን ያሉበት ቦታ በፈለጉት ፍጥነት እናደርሳለን ይደውሉ 0928460606 0902660722 ከ አንድ አመት ዋስትና ጋር ዋጋ 750 ብር የቴሌግራም ቻናላችንን በመቀላቀል ለሌሎችም ያጋሩ httpstelegram.meZemenExpress የሚደሰቱበት_የሚረኩበት! ለተጨማሪ ሀሳብ አስተያየት ZemenCallCenter
